issue_type,path,src_size,dst_size,size_equal,src_modtime_epoch,dst_modtime_epoch,modtime_diff_seconds,within_tolerance
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_10 Tapan Paul.rar,19351482291,,,1673402468.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_11 Tapan Paul.rar,22331791580,,,1673406602.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_12 Tapan Paul.rar,34842909582,,,1673416087.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_4 Tapan Paul.rar,35530174315,,,1673238053.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_6 Tapan Paul.rar,41103835801,,,1673327944.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Bi-Weekly]_7 Tapan Paul.rar,42789401185,,,1673316630.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily Allahabad]_1 Tapan Paul.rar,43803297421,,,1673839242.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily Allahabad]_4 Tapan Paul.rar,48358364329,,,1674008592.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily Allahabad]_7 Tapan Paul.rar,48562873945,,,1674092707.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_1 Tapan Paul.rar,38772218187,,,1674179297.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_12 Tapan Paul.rar,43098461331,,,1675228791.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_13 Tapan Paul.rar,45672883542,,,1675302258.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_14 Tapan Paul.rar,43293029672,,,1675309048.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_15 Tapan Paul.rar,35360834056,,,1675301465.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_17 Tapan Paul.rar,35069968289,,,1675310986.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_18 Tapan Paul.rar,36981499868,,,1675316166.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_19 Tapan Paul.rar,37163481296,,,1675321826.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_2 Tapan Paul.rar,44341405979,,,1674189488.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_28 Tapan Paul.rar,34797527475,,,1675321583.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_29 Tapan Paul.rar,31111825297,,,1675325276.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_3 Tapan Paul.rar,43192144658,,,1674528126.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_4 Tapan Paul.rar,41894647755,,,1674791941.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Amrita_Bazar_Patrika [Daily]_41 Tapan paul.rar,40722877689,,,1676251546.0,,,
